7514 1366 4408 4472
[TEST ] 1 ----------------
6608 2272 3332 5548
[TEST ] 2 ----------------
6250 2630 3090 5790
[TEST ] 3 ----------------
6389 2491 3154 5726
[TEST ] 4 ----------------
5970 2910 2798 6082
[TEST ] 5 ----------------
6550 2330 3248 5632
[TEST ] 6 ----------------
6144 2736 2957 5923
[TEST ] 7 ----------------
6025 2855 2870 6010
[TEST ] 8 ----------------
6129 2751 2823 6057
[TEST ] 9 ----------------
5720 3160 2662 6218
[TEST ] 10 ----------------
5552 3328 2519 6361
[TEST ] 11 ----------------
5920 2960 2718 6162
[TEST ] 12 ----------------
5503 3377 2339 6541
[TEST ] 13 ----------------
4845 4035 2004 6876
[TEST ] 14 ----------------
4718 4162 1891 6989
[TEST ] 15 ----------------
4740 4140 1921 6959
[TEST ] 16 ----------------
4059 4821 1508 7372
[TEST ] 17 ----------------
4117 4763 1535 7345
[TEST ] 18 ----------------
4622 4258 1778 7102
[TEST ] 19 ----------------
3882 4998 1414 7466
[TEST ] 20 ----------------
3552 5328 1322 7558
[TEST ] 21 ----------------
3264 5616 1158 7722
[TEST ] 22 ----------------
3261 5619 1180 7700
[TEST ] 23 ----------------
3635 5245 1312 7568
[TEST ] 24 ----------------
3544 5336 1298 7582
[TEST ] 25 ----------------
3936 4944 1501 7379
[TEST ] 26 ----------------
3255 5625 1121 7759
[TEST ] 27 ----------------
2372 6508 793 8087
[TEST ] 28 ----------------
2875 6005 981 7899
[TEST ] 29 ----------------
2517 6363 840 8040
[TEST ] 30 ----------------
2762 6118 925 7955
[TEST ] 31 ----------------
2654 6226 896 7984
[TEST ] 32 ----------------
2684 6196 910 7970
[TEST ] 33 ----------------
2492 6388 831 8049
[TEST ] 34 ----------------
2083 6797 644 8236
[TEST ] 35 ----------------
2065 6815 656 8224
[TEST ] 36 ----------------
2196 6684 727 8153
[TEST ] 37 ----------------
2401 6479 798 8082
[TEST ] 38 ----------------
2075 6805 685 8195
[TEST ] 39 ----------------
2479 6401 790 8090
[TEST ] 40 ----------------
1928 6952 603 8277
[TEST ] 41 ----------------
2711 6169 895 7985
[TEST ] 42 ----------------
2352 6528 771 8109
[TEST ] 43 ----------------
2239 6641 718 8162
[TEST ] 44 ----------------
1900 6980 647 8233
[TEST ] 45 ----------------
2199 6681 769 8111
[TEST ] 46 ----------------
2367 6513 792 8088
[TEST ] 47 ----------------
2383 6497 780 8100
[TEST ] 48 ----------------
2316 6564 774 8106
[TEST ] 49 ----------------
2250 6630 751 8129
[TEST ] 50 ----------------
2168 6712 721 8159
[TEST ] 51 ----------------
1864 7016 603 8277
[TEST ] 52 ----------------
2224 6656 740 8140
[TEST ] 53 ----------------
1915 6965 646 8234
[TEST ] 54 ----------------
1969 6911 634 8246
[TEST ] 55 ----------------
1965 6915 655 8225
[TEST ] 56 ----------------
1682 7198 541 8339
[TEST ] 57 ----------------
1923 6957 655 8225
[TEST ] 58 ----------------
1900 6980 610 8270
[TEST ] 59 ----------------
1707 7173 535 8345
[TEST ] 60 ----------------
2389 6491 819 8061
[TEST ] 61 ----------------
2213 6667 737 8143
[TEST ] 62 ----------------
2594 6286 889 7991
[TEST ] 63 ----------------
1867 7013 610 8270
[TEST ] 64 ----------------
2139 6741 745 8135
[TEST ] 65 ----------------
1728 7152 545 8335
[TEST ] 66 ----------------
1782 7098 585 8295
[TEST ] 67 ----------------
2305 6575 767 8113
[TEST ] 68 ----------------
1881 6999 621 8259
[TEST ] 69 ----------------
1733 7147 532 8348
[TEST ] 70 ----------------
1935 6945 653 8227
[TEST ] 71 ----------------
2031 6849 686 8194
[TEST ] 72 ----------------
1746 7134 577 8303
[TEST ] 73 ----------------
1734 7146 580 8300
[TEST ] 74 ----------------
1746 7134 577 8303
[TEST ] 75 ----------------
2004 6876 658 8222
[TEST ] 76 ----------------
1730 7150 555 8325
[TEST ] 77 ----------------
1651 7229 540 8340
[TEST ] 78 ----------------
2125 6755 713 8167
[TEST ] 79 ----------------
1649 7231 543 8337
[TEST ] 80 ----------------
1706 7174 563 8317
[TEST ] 81 ----------------
1861 7019 639 8241
[TEST ] 82 ----------------
1596 7284 532 8348
[TEST ] 83 ----------------
1936 6944 624 8256
[TEST ] 84 ----------------
1642 7238 517 8363
[TEST ] 85 ----------------
1607 7273 503 8377
[TEST ] 86 ----------------
1615 7265 505 8375
[TEST ] 87 ----------------
1294 7586 398 8482
[TEST ] 88 ----------------
1695 7185 528 8352
[TEST ] 89 ----------------
1614 7266 523 8357
[TEST ] 90 ----------------
1545 7335 462 8418
[TEST ] 91 ----------------
1794 7086 563 8317
[TEST ] 92 ----------------
1725 7155 553 8327
[TEST ] 93 ----------------
1469 7411 471 8409
[TEST ] 94 ----------------
1499 7381 466 8414
[TEST ] 95 ----------------
1670 7210 544 8336
[TEST ] 96 ----------------
1478 7402 454 8426
[TEST ] 97 ----------------
1658 7222 523 8357
[TEST ] 98 ----------------
1328 7552 411 8469
[TEST ] 99 ----------------
1530 7350 498 8382
[TEST ] 100 ----------------
1522 7358 461 8419
[TEST ] 101 ----------------
1649 7231 514 8366
[TEST ] 102 ----------------
1466 7414 436 8444
[TEST ] 103 ----------------
1903 6977 623 8257
[TEST ] 104 ----------------
1635 7245 522 8358
[TEST ] 105 ----------------
1541 7339 481 8399
[TEST ] 106 ----------------
1406 7474 453 8427
[TEST ] 107 ----------------
1535 7345 499 8381
[TEST ] 108 ----------------
1497 7383 474 8406
[TEST ] 109 ----------------
1340 7540 431 8449
[TEST ] 110 ----------------
1439 7441 468 8412
[TEST ] 111 ----------------
1406 7474 443 8437
[TEST ] 112 ----------------
1267 7613 366 8514
[TEST ] 113 ----------------
1284 7596 373 8507
[TEST ] 114 ----------------
1418 7462 453 8427
[TEST ] 115 ----------------
1327 7553 396 8484
[TEST ] 116 ----------------
1454 7426 471 8409
[TEST ] 117 ----------------
1321 7559 406 8474
[TEST ] 118 ----------------
1226 7654 402 8478
[TEST ] 119 ----------------
1250 7630 377 8503
[TEST ] 120 ----------------
1659 7221 565 8315
[TEST ] 121 ----------------
1234 7646 362 8518
[TEST ] 122 ----------------
1357 7523 400 8480
[TEST ] 123 ----------------
1375 7505 423 8457
[TEST ] 124 ----------------
1512 7368 491 8389
[TEST ] 125 ----------------
1403 7477 422 8458
[TEST ] 126 ----------------
1298 7582 403 8477
[TEST ] 127 ----------------
1361 7519 439 8441
[TEST ] 128 ----------------
1346 7534 426 8454
[TEST ] 129 ----------------
1265 7615 401 8479
[TEST ] 130 ----------------
1253 7627 389 8491
[TEST ] 131 ----------------
1199 7681 374 8506
[TEST ] 132 ----------------
1283 7597 396 8484
[TEST ] 133 ----------------
1235 7645 384 8496
[TEST ] 134 ----------------
1407 7473 451 8429
[TEST ] 135 ----------------
1469 7411 486 8394
[TEST ] 136 ----------------
1392 7488 426 8454
[TEST ] 137 ----------------
1439 7441 452 8428
[TEST ] 138 ----------------
1584 7296 486 8394
[TEST ] 139 ----------------
1402 7478 430 8450
[TEST ] 140 ----------------
1466 7414 439 8441
[TEST ] 141 ----------------
1390 7490 452 8428
[TEST ] 142 ----------------
1430 7450 457 8423
[TEST ] 143 ----------------
1229 7651 397 8483
[TEST ] 144 ----------------
1254 7626 420 8460
[TEST ] 145 ----------------
1277 7603 411 8469
[TEST ] 146 ----------------
1380 7500 449 8431
[TEST ] 147 ----------------
1260 7620 396 8484
[TEST ] 148 ----------------
1331 7549 445 8435
[TEST ] 149 ----------------
1251 7629 410 8470
[TEST ] 150 ----------------
1509 7371 500 8380
[TEST ] 151 ----------------
1093 7787 318 8562
[TEST ] 152 ----------------
1251 7629 368 8512
[TEST ] 153 ----------------
1303 7577 402 8478
[TEST ] 154 ----------------
1291 7589 395 8485
[TEST ] 155 ----------------
1391 7489 439 8441
[TEST ] 156 ----------------
1031 7849 282 8598
[TEST ] 157 ----------------
1089 7791 314 8566
[TEST ] 158 ----------------
1263 7617 363 8517
[TEST ] 159 ----------------
1452 7428 459 8421
[TEST ] 160 ----------------
1118 7762 345 8535
[TEST ] 161 ----------------
1110 7770 345 8535
[TEST ] 162 ----------------
1028 7852 302 8578
[TEST ] 163 ----------------
1456 7424 466 8414
[TEST ] 164 ----------------
1348 7532 410 8470
[TEST ] 165 ----------------
