6332 2548 3384 5496
[TEST ] 1 ----------------
6793 2087 3543 5337
[TEST ] 2 ----------------
6781 2099 3482 5398
[TEST ] 3 ----------------
6688 2192 3442 5438
[TEST ] 4 ----------------
6772 2108 3478 5402
[TEST ] 5 ----------------
6709 2171 3441 5439
[TEST ] 6 ----------------
6772 2108 3492 5388
[TEST ] 7 ----------------
6557 2323 3454 5426
[TEST ] 8 ----------------
6247 2633 3067 5813
[TEST ] 9 ----------------
7586 1294 4371 4509
[TEST ] 10 ----------------
6594 2286 3302 5578
[TEST ] 11 ----------------
6573 2307 3353 5527
[TEST ] 12 ----------------
6797 2083 3594 5286
[TEST ] 13 ----------------
6960 1920 3767 5113
[TEST ] 14 ----------------
6772 2108 3466 5414
[TEST ] 15 ----------------
6739 2141 3510 5370
[TEST ] 16 ----------------
6681 2199 3588 5292
[TEST ] 17 ----------------
6842 2038 3609 5271
[TEST ] 18 ----------------
6772 2108 3670 5210
[TEST ] 19 ----------------
7150 1730 4130 4750
[TEST ] 20 ----------------
7397 1483 4392 4488
[TEST ] 21 ----------------
6551 2329 3427 5453
[TEST ] 22 ----------------
6750 2130 3677 5203
[TEST ] 23 ----------------
6493 2387 3414 5466
[TEST ] 24 ----------------
7019 1861 4086 4794
[TEST ] 25 ----------------
6810 2070 3693 5187
[TEST ] 26 ----------------
6618 2262 3657 5223
[TEST ] 27 ----------------
6803 2077 3786 5094
[TEST ] 28 ----------------
6575 2305 3548 5332
[TEST ] 29 ----------------
7127 1753 4175 4705
[TEST ] 30 ----------------
6873 2007 3804 5076
[TEST ] 31 ----------------
6307 2573 3517 5363
[TEST ] 32 ----------------
6461 2419 3674 5206
[TEST ] 33 ----------------
6565 2315 3682 5198
[TEST ] 34 ----------------
6669 2211 3645 5235
[TEST ] 35 ----------------
6553 2327 3423 5457
[TEST ] 36 ----------------
7071 1809 3954 4926
[TEST ] 37 ----------------
6848 2032 3801 5079
[TEST ] 38 ----------------
6836 2044 3791 5089
[TEST ] 39 ----------------
6653 2227 3676 5204
[TEST ] 40 ----------------
6752 2128 3757 5123
[TEST ] 41 ----------------
6366 2514 3392 5488
[TEST ] 42 ----------------
6769 2111 3829 5051
[TEST ] 43 ----------------
6806 2074 3795 5085
[TEST ] 44 ----------------
6450 2430 3410 5470
[TEST ] 45 ----------------
6517 2363 3482 5398
[TEST ] 46 ----------------
6516 2364 3432 5448
[TEST ] 47 ----------------
6614 2266 3631 5249
[TEST ] 48 ----------------
6767 2113 3675 5205
[TEST ] 49 ----------------
6648 2232 3687 5193
[TEST ] 50 ----------------
6817 2063 3822 5058
[TEST ] 51 ----------------
6631 2249 3665 5215
[TEST ] 52 ----------------
6721 2159 3860 5020
[TEST ] 53 ----------------
6822 2058 3821 5059
[TEST ] 54 ----------------
6810 2070 3798 5082
[TEST ] 55 ----------------
6551 2329 3641 5239
[TEST ] 56 ----------------
6519 2361 3583 5297
[TEST ] 57 ----------------
6815 2065 3861 5019
[TEST ] 58 ----------------
6546 2334 3565 5315
[TEST ] 59 ----------------
6846 2034 3903 4977
[TEST ] 60 ----------------
6861 2019 3811 5069
[TEST ] 61 ----------------
7006 1874 4035 4845
[TEST ] 62 ----------------
6677 2203 3718 5162
[TEST ] 63 ----------------
6746 2134 3872 5008
[TEST ] 64 ----------------
6742 2138 3758 5122
[TEST ] 65 ----------------
6693 2187 3784 5096
[TEST ] 66 ----------------
6704 2176 3834 5046
[TEST ] 67 ----------------
6568 2312 3607 5273
[TEST ] 68 ----------------
6665 2215 3700 5180
[TEST ] 69 ----------------
6802 2078 3833 5047
[TEST ] 70 ----------------
6682 2198 3736 5144
[TEST ] 71 ----------------
6781 2099 3796 5084
[TEST ] 72 ----------------
6349 2531 3442 5438
[TEST ] 73 ----------------
6717 2163 3698 5182
[TEST ] 74 ----------------
6960 1920 3924 4956
[TEST ] 75 ----------------
6673 2207 3621 5259
[TEST ] 76 ----------------
6782 2098 3800 5080
[TEST ] 77 ----------------
6916 1964 3961 4919
[TEST ] 78 ----------------
6822 2058 3817 5063
[TEST ] 79 ----------------
6412 2468 3438 5442
[TEST ] 80 ----------------
6746 2134 3727 5153
[TEST ] 81 ----------------
6702 2178 3701 5179
[TEST ] 82 ----------------
6682 2198 3699 5181
[TEST ] 83 ----------------
6807 2073 3833 5047
[TEST ] 84 ----------------
6654 2226 3672 5208
[TEST ] 85 ----------------
6972 1908 3978 4902
